MESES;ENERO;FEBRERO;MARZO;ABRIL;MAYO ;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ANDALUCIA;12;2;10;16;70;16;47;70;20;36;18;33
ARAGÓN;3;0;3;0;6;0;0;41;6;0;0;0
ASTURIAS;2;0;0;2;4;2;2;16;2;3;2;2
BALEARES;0;0;0;0;0;0;0;5;0;0;2;1
CANARIAS;0;0;1;4;2;4;1;9;0;0;0;0
CANTABRIA;0;0;3;0;0;2;2;1;0;3;3;0
C. MANCHA;7;1;42;1;8;0;2;11;29;12;0;0
C. LEÓN;0;0;23;11;16;11;10;25;8;7;4;10
CATALUÑA;3;0;0;7;9;9;22;113;22;18;2;12
C. VALENCIANA;0;0;10;1;14;3;12;69;18;14;1;2
EXTREMADURA;212;155;319;154;144;139;230;665;143;104;486;255
GALICIA;0;0;10;2;0;0;0;17;8;2;2;3
LA RIOJA;0;0;0;0;4;0;0;0;0;2;2;0
C. MADRID;24;30;101;14;38;16;74;239;40;21;20;34
MURCIA;0;0;0;0;1;2;1;7;60;40;3;0
NAVARRA;0;0;0;0;0;0;0;25;0;2;1;4
P. VASCO;0;0;0;2;2;8;27;103;8;9;0;6
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0
