DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;0;0;0;0;2;0;10;7;0;0;0;2;3;0;10;0;0;1;0;2;14;27;7;0;5;3;0;1;0;0;0;94
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
C. LEÓN;8;0;0;0;0;0;0;0;4;0;0;0;0;0;8;0;0;0;0;2;0;2;0;3;4;0;0;0;0;0;0;31
CATALUÑA;1;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;0;7;23
C. VALENCIANA;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;13;6;0;0;0;0;0;2;0;0;0;28
EXTREMADURA;11;84;0;6;20;19;12;4;3;0;5;2;1;2;2;0;0;2;10;3;9;19;11;3;0;0;2;0;45;2;52;329
GALICIA;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;2;0;0;0;11
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
C. MADRID;0;0;0;0;0;0;6;5;4;0;4;6;1;0;4;0;0;2;4;0;10;13;8;0;1;0;0;0;0;0;2;70
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. VASCO;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;10;0;0;0;0;0;0;0;0;0;30
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
