DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;0;0;0;0;5;4;2;0;0;0;0;0;0;18;0;0;3;16;26;3;2;0;2;0;8;2;0;0;2;0;0;93
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;8
ASTURIAS;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;9
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;6
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4
C. MANCHA;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;12
C. LEÓN;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;5;0;0;1;2;0;1;0;0;0;0;0;0;14
CATALUÑA;5;1;0;5;2;0;0;10;0;4;14;5;10;6;11;15;8;41;47;0;3;1;0;0;4;0;0;0;0;0;2;194
C. VALENCIANA;0;0;4;0;0;0;0;0;6;0;0;2;2;0;0;0;0;8;0;0;0;2;0;4;0;0;0;0;0;0;0;28
EXTREMADURA;7;0;4;2;8;6;2;7;4;1;20;47;3;10;6;9;11;56;229;32;2;6;6;5;5;4;0;0;3;4;4;503
GALICIA;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
C. MADRID;0;0;0;0;0;0;0;0;0;0;2;3;2;3;3;0;3;23;44;0;3;2;0;4;3;5;0;0;2;0;2;104
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;6
P. VASCO;2;0;0;0;0;0;1;0;2;3;0;0;0;0;2;4;0;8;0;0;4;6;8;2;0;0;0;0;0;0;0;42
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
