DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;2;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;2;0;0;3;6;0;4;0;0;0;1;8;46
ARAGÓN;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;9
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
C. MANCHA;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;10;23
C. LEÓN;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;0;0;0;0;0;0;9
CATALUÑA;0;0;2;0;0;0;2;0;0;0;0;0;4;6;2;3;0;0;0;0;0;4;0;0;0;0;0;0;0;1;2;26
C. VALENCIANA;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;6;0;0;4;0;4;1;0;6;0;29
EXTREMADURA;2;6;0;0;5;3;6;20;34;8;0;2;1;0;1;46;0;0;0;0;0;1;35;8;0;1;4;14;4;23;20;244
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
C. MADRID;0;6;0;0;0;0;4;3;0;0;0;3;2;0;0;0;0;0;0;0;0;0;3;2;0;2;2;0;0;3;7;37
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
NAVARRA;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
P. VASCO;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;8;0;2;4;15;0;2;0;0;0;0;6;47
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
